"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_research_bm_ranged_special"                                 	"Research Corrupted Blade"
		"DOTA_Tooltip_ability_research_bm_ranged_special_Description"                     	"Grants bonus damage and reduces your target's armor. The Corruption debuff works against buildings as well."
		"DOTA_Tooltip_ability_research_bm_ranged_special_bonus_damage"  					"BONUS DAMAGE:"
		"DOTA_Tooltip_ability_research_bm_ranged_special_corruption_armor"  				"ARMOR REDUCTION:"
		"DOTA_Tooltip_ability_research_bm_ranged_special_research_time"                   	"<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_bm_ranged_special_gold_cost"                       	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_bm_ranged_special_lumber_cost"                     	"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_research_bm_ranged_special_disabled"                        	"Research Corrupted Blade"
		"DOTA_Tooltip_ability_research_bm_ranged_special_disabled_Description"            	"Grants bonus damage and reduces your target's armor. The Corruption debuff works against buildings as well.\n<b><font color='#eedd44'>Requires:\n - Library of Spells</font></b>\n"

		"DOTA_Tooltip_ability_item_research_bm_ranged_special"                            	"Cancel Research"
		"DOTA_Tooltip_ability_item_research_bm_ranged_special_Description"                	""


		//Air Evasion
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_bm_air_evasion"                                             	"Evasion"
		"DOTA_Tooltip_ability_bm_air_evasion_Description"                                 	"Provides evasion to Air Creeps."
		"DOTA_Tooltip_ability_bm_air_evasion_evasion_bonus"                               	"EVASION PERCENTAGE:"

		"DOTA_Tooltip_ability_bm_air_evasion_disabled"                                    	"Evasion"
		"DOTA_Tooltip_ability_bm_air_evasion_disabled_Description"                        	"Provides evasion to Air Creeps."

		"DOTA_Tooltip_modifier_air_evasion_bonus"                                         	"Evasion"
		"DOTA_Tooltip_modifier_air_evasion_bonus_Description"                             	"Grants evasion"

		"DOTA_Tooltip_ability_research_bm_air_evasion"                                    	"Evasion"
		"DOTA_Tooltip_ability_research_bm_air_evasion_Description"                        	"Provides evasion to Air Creeps."
		"DOTA_Tooltip_ability_research_bm_air_evasion_evasion_bonus"              			"EVASION PERCENTAGE:"
		"DOTA_Tooltip_ability_research_bm_air_evasion_research_time"                      	"<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_bm_air_evasion_gold_cost"                          	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_bm_air_evasion_lumber_cost"                        	"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_item_research_bm_air_evasion"                               	"Cancel Upgrade"
		"DOTA_Tooltip_ability_item_research_bm_air_evasion_Description"                   	""


		//Mystic Flare
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_luminous_mystic_flare"                                      	"Mystic Flare"
		"DOTA_Tooltip_ability_luminous_mystic_flare_Description"                          	"Conjure a precise and violent mystical field that lays waste to adversaries. Deals massive damage distributed evenly among all enemies in the area."
		"DOTA_Tooltip_ability_luminous_mystic_flare_duration"                               "DURATION:"
		"DOTA_Tooltip_ability_luminous_mystic_flare_damage"                               	"DAMAGE:"


		//Sun Strike
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_luminous_sun_strike"                                        	"Sun Strike"
		"DOTA_Tooltip_ability_luminous_sun_strike_Description"                            	"Sends a catastrophic ray of fierce energy from the sun at any targeted location, incinerating everything beneath it."
		"DOTA_Tooltip_ability_luminous_sun_strike_damage"   								"DAMAGE:"


		//Chain Frost
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_unpromising_chain_frost"                                      "Chain Frost"
		"DOTA_Tooltip_ability_unpromising_chain_frost_Description"                          "Releases an orb of frost that bounces between nearby enemy units, slowing and damaging each time it hits. The first target is mini-stunned."
		"DOTA_Tooltip_ability_unpromising_chain_frost_jumps"   								"JUMPS:"
		"DOTA_Tooltip_ability_unpromising_chain_frost_damage"                               "DAMAGE:"


		//Chaos Meteor
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_unpromising_chaos_meteor"                                  	"Chaos Meteor"
		"DOTA_Tooltip_ability_unpromising_chaos_meteor_Description"              			"Launch a flaming meatball onto the targeted location. Upon landing, the meatball rolls forward, destroying everything in its path."
		"DOTA_Tooltip_ability_unpromising_chaos_meteor_main_damage"    						"DAMAGE:"


		//Scout Unlocks
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_research_bm_scout_hawk"                                    	"Hawk Scout"
		"DOTA_Tooltip_ability_research_bm_scout_hawk_Description"                        	"Allows your Barracks Master to spawn Hawk Scouts."
		"DOTA_Tooltip_ability_research_bm_scout_hawk_research_time"                       	"<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_bm_scout_hawk_gold_cost"                          	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_bm_scout_hawk_lumber_cost"                        	"<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_research_bm_scout_techies"                                    "Techies Scout"
		"DOTA_Tooltip_ability_research_bm_scout_techies_Description"                        "Allows your Barracks Master to spawn Techies Scouts."
		"DOTA_Tooltip_ability_research_bm_scout_techies_research_time"                      "<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_bm_scout_techies_gold_cost"                          "<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_bm_scout_techies_lumber_cost"                        "<font color='#28fe77'>LUMBER COST</font>:"



		//Spawners
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_spawn_skeleton_creeps"                                        "Skeleton Spawner"
		"DOTA_Tooltip_ability_spawn_skeleton_creeps_Description"                            "Automatically spawns Skeleton Creeps"
		"DOTA_Tooltip_ability_spawn_skeleton_creeps_creep_count"                            "CREEP COUNT:"	

		"DOTA_Tooltip_ability_research_spawn_skeleton_creeps"                             	"Increase Spawn Count"
		"DOTA_Tooltip_ability_research_spawn_skeleton_creeps_Description"                 	"Increase the number of Skeleton Creeps that spawn."
		"DOTA_Tooltip_ability_research_spawn_skeleton_creeps_creep_count"                 	"CREEP COUNT:"
		"DOTA_Tooltip_ability_research_spawn_skeleton_creeps_research_time"               	"<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_spawn_skeleton_creeps_gold_cost"                   	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_spawn_skeleton_creeps_lumber_cost"                 	"<font color='#28fe77'>LUMBER COST</font>:"



		"DOTA_Tooltip_ability_spawn_melee_creeps"                                           "Melee Spawner"
		"DOTA_Tooltip_ability_spawn_melee_creeps_Description"                               "Automatically spawns Melee Creeps"
		"DOTA_Tooltip_ability_spawn_melee_creeps_creep_count"                               "CREEP COUNT:"

		"DOTA_Tooltip_ability_research_spawn_melee_creeps"                                	"Increase Spawn Count"
		"DOTA_Tooltip_ability_research_spawn_melee_creeps_Description"                    	"Increase the number of Melee Creeps that spawn."
		"DOTA_Tooltip_ability_research_spawn_melee_creeps_creep_count"                    	"CREEP COUNT:"
		"DOTA_Tooltip_ability_research_spawn_melee_creeps_research_time"                  	"<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_spawn_melee_creeps_gold_cost"                      	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_spawn_melee_creeps_lumber_cost"                    	"<font color='#28fe77'>LUMBER COST</font>:"



		"DOTA_Tooltip_ability_spawn_ranged_creeps"                                     		"Ranged Spawner"
		"DOTA_Tooltip_ability_spawn_ranged_creeps_Description"                              "Automatically spawns Ranged Creeps"
		"DOTA_Tooltip_ability_spawn_ranged_creeps_creep_count"                              "CREEP COUNT:"	

		"DOTA_Tooltip_ability_research_spawn_ranged_creeps"                               	"Increase Spawn Count"
		"DOTA_Tooltip_ability_research_spawn_ranged_creeps_Description"                   	"Increase the number of Ranged Creeps that spawn."
		"DOTA_Tooltip_ability_research_spawn_ranged_creeps_creep_count"                   	"CREEP COUNT:"
		"DOTA_Tooltip_ability_research_spawn_ranged_creeps_research_time"                 	"<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_spawn_ranged_creeps_gold_cost"                     	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_spawn_ranged_creeps_lumber_cost"                   	"<font color='#28fe77'>LUMBER COST</font>:"



		"DOTA_Tooltip_ability_spawn_siege_creeps"                                     		"Siege Spawner"
		"DOTA_Tooltip_ability_spawn_siege_creeps_Description"                              	"Automatically spawns Siege Creeps"
		"DOTA_Tooltip_ability_spawn_siege_creeps_creep_count"                              	"CREEP COUNT:"	

		"DOTA_Tooltip_ability_research_spawn_siege_creeps"                                	"Increase Spawn Count"
		"DOTA_Tooltip_ability_research_spawn_siege_creeps_Description"                    	"Increase the number of Siege Creeps that spawn."
		"DOTA_Tooltip_ability_research_spawn_siege_creeps_creep_count"                    	"CREEP COUNT:"
		"DOTA_Tooltip_ability_research_spawn_siege_creeps_research_time"                  	"<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_spawn_siege_creeps_gold_cost"                      	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_spawn_siege_creeps_lumber_cost"                    	"<font color='#28fe77'>LUMBER COST</font>:"



		"DOTA_Tooltip_ability_spawn_air_creeps"                                     		"Air Spawner"
		"DOTA_Tooltip_ability_spawn_air_creeps_Description"                              	"Automatically spawns Air Creeps."
		"DOTA_Tooltip_ability_spawn_air_creeps_creep_count"                              	"COUNT:"	

		"DOTA_Tooltip_ability_research_spawn_air_creeps"                                  	"Increase Spawn Count"
		"DOTA_Tooltip_ability_research_spawn_air_creeps_Description"                      	"Increase the number of Air Creeps that spawn."
		"DOTA_Tooltip_ability_research_spawn_air_creeps_creep_count"                      	"CREEP COUNT:"
		"DOTA_Tooltip_ability_research_spawn_air_creeps_research_time"                    	"<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_spawn_air_creeps_gold_cost"                        	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_research_spawn_air_creeps_lumber_cost"                      	"<font color='#28fe77'>LUMBER COST</font>:"



		"DOTA_Tooltip_ability_spawn_ancient_creeps"                                     	"Ancient Spawner"
		"DOTA_Tooltip_ability_spawn_ancient_creeps_Description"                             "Automatically spawns your chosen Ancient. Select a different Ancient to toggle."
		"DOTA_Tooltip_ability_spawn_ancient_creeps_creep_count"                             "CREEP COUNT:"	

		"DOTA_Tooltip_ability_spawn_hero_vengeful"                                     		"Spawn Vengeful Spirit"
		"DOTA_Tooltip_ability_spawn_hero_vengeful_Description"                              "Vengeful Spirit has True Strike and provides Vengence Aura which boosts attack damage by 12 percent."
		"DOTA_Tooltip_ability_spawn_hero_vengeful_gold_cost"                              	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_spawn_hero_vengeful_lumber_cost"                              "<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_spawn_hero_nevermore"                                     	"Spawn Shadow Fiend"
		"DOTA_Tooltip_ability_spawn_hero_nevermore_Description"                             "Shadow Fiend has True Strike and provides Presence of the Dark Lord which reduces armor by 3."
		"DOTA_Tooltip_ability_spawn_hero_nevermore_gold_cost"                              	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_spawn_hero_nevermore_lumber_cost"                             "<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_spawn_hero_beastmaster"                                     	"Spawn Beastmaster"
		"DOTA_Tooltip_ability_spawn_hero_beastmaster_Description"                           "Beastmaster has True Strike and provides Inner Beast which boosts attack speed by 15."
		"DOTA_Tooltip_ability_spawn_hero_beastmaster_gold_cost"                             "<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_spawn_hero_beastmaster_lumber_cost"                           "<font color='#28fe77'>LUMBER COST</font>:"

		"DOTA_Tooltip_ability_spawn_hero_medusa"                                          	"Spawn Medusa"
		"DOTA_Tooltip_ability_spawn_hero_medusa_Description"                              	"Medusa has True Strike and has Split Shot which allows her to attack up to 10 targets."
		"DOTA_Tooltip_ability_spawn_hero_medusa_gold_cost"                                	"<font color='#fff22e'>GOLD COST</font>:"

		"DOTA_Tooltip_ability_spawn_lumberjacks"                                     		"Spawn Lumberjack"
		"DOTA_Tooltip_ability_spawn_lumberjacks_Description"                              	"People are often confused when they see Lumberjack waving his hands aimlessly. Only with closer inspection do they realize that he is actually harvesting lumber."
		"DOTA_Tooltip_ability_spawn_lumberjacks_gold_cost"                              	"<font color='#fff22e'>GOLD COST</font>:"
		"DOTA_Tooltip_ability_spawn_lumberjacks_max_count"                              	"MAX COUNT:"


		//Purifier
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_purifier_bonus_gold"                                 			"Eldwurm's Gold"
		"DOTA_Tooltip_ability_purifier_bonus_gold_Description"                            	"Increases gold earned from creep-kills by 25 percent. By remelting gold in the fire of Slyrak, one is able to create additional value out of the precious metal."
		"DOTA_Tooltip_ability_purifier_bonus_gold_gold_bonus"                             	"BONUS PERCENTAGE:"

		"DOTA_Tooltip_ability_purifier_bonus_lumber"                                      	"Wood Chips"
		"DOTA_Tooltip_ability_purifier_bonus_lumber_Description"                          	"Increases yield of lumber earned. All sawmills turn logs into lumber, but in the process much waste is generated. Wood chips and sawdust can be recycled to make sure nothing goes to waste."
		"DOTA_Tooltip_ability_purifier_bonus_lumber_lumber_bonus"                         	"BONUS PERCENTAGE:"

		"DOTA_Tooltip_ability_purifier_bonus_lumber_disabled"                             	"Wood Chips"
		"DOTA_Tooltip_ability_purifier_bonus_lumber_disabled_Description"                 	"Increases yield of lumber earned. All sawmills turn logs into lumber, but in the process much waste is generated. Wood chips and sawdust can be recycled to make sure nothing goes to waste.\n<b><font color='#eedd44'>Requires:\n - Research Wood Chips</font></b>"

		"DOTA_Tooltip_ability_research_purifier_bonus_lumber"                             	"Research Wood Chips"
		"DOTA_Tooltip_ability_research_purifier_bonus_lumber_Description"                 	"Increases yield of lumber earned. All sawmills turn logs into lumber, but in the process much waste is generated. Wood chips and sawdust can be recycled to make sure nothing goes to waste."
		"DOTA_Tooltip_ability_research_purifier_bonus_lumber_lumber_bonus"                	"BONUS PERCENTAGE:"
		"DOTA_Tooltip_ability_research_purifier_bonus_lumber_research_time"               	"<font color='#057aff'>RESEARCH TIME</font>:"
		"DOTA_Tooltip_ability_research_purifier_bonus_lumber_gold_cost"                   	"<font color='#fff22e'>GOLD COST</font>:"

		"DOTA_Tooltip_ability_item_research_purifier_bonus_lumber"                        	"Cancel Research"
		"DOTA_Tooltip_ability_item_research_purifier_bonus_lumber_Description"            	""


		//Misc
		//-------------------------------------------------------------
		"DOTA_Tooltip_ability_ability_swapper_next"                                     	"Next"
		"DOTA_Tooltip_ability_ability_swapper_previous"                                     "Back"
		"DOTA_Tooltip_ability_ability_swapper_empty"                                     	"Empty"

		"DOTA_Tooltip_ability_item_building_cancel"                                       	"Building Cancel"
		"DOTA_Tooltip_ability_item_building_cancel_Description"                           	""

		"DOTA_Tooltip_ability_lumberjack_harvest"                                     		"Harvest Lumber"
		"DOTA_Tooltip_ability_lumberjack_harvest_Description"                               "Use ability and target The Stump to begin harvesting."

		"DOTA_Tooltip_ability_select_ancient1"                                     			"Granite Golem"
		"DOTA_Tooltip_ability_select_ancient1_Description"                                  "Click to select Granite Golems as your Ancient spawn. Granite Golems have Granite Aura which increases the health capacity of nearby units."

		"DOTA_Tooltip_ability_select_ancient2"                                     			"Thunderhide"
		"DOTA_Tooltip_ability_select_ancient2_Description"                                  "Click to select Thunderhides as your Ancient spawn. Thunderhides have War Drums Aura which increases the attack speed and attack damage of nearby allies."	
		
		"DOTA_Tooltip_ability_select_ancient3"                                     			"Black Dragon"
		"DOTA_Tooltip_ability_select_ancient3_Description"                                  "Click to select Black Dragons as your Ancient spawn. Black Dragons have Dragonhide Aura which grants nearby allies additional armor."	

		"DOTA_Tooltip_ability_bm_truestrike"                                              	"True Strike"
		"DOTA_Tooltip_ability_bm_truestrike_Description"                                  	"Prevents attacks from missing. True Strike does not work when attacking enemy structures."

		"DOTA_Tooltip_ability_bm_command_aura"                                            	"Vengeance Aura"
		"DOTA_Tooltip_ability_bm_command_aura_Description"                                	"Vengeful Spirit's presence increases the physical damage of nearby friendly units."
		"DOTA_Tooltip_ability_bm_command_aura_bonus_damage_pct"                           	"BONUS DAMAGE PERCENTAGE:"
		"DOTA_Tooltip_ability_bm_command_aura_radius"                                     	"RADIUS:"
		"DOTA_Tooltip_modifier_command_aura_buff"                                         	"Vengeance Aura"
		"DOTA_Tooltip_modifier_command_aura_buff_Description"                             	"12 percent bonus damage"

		"DOTA_Tooltip_ability_bm_wardrums_aura"                                           	"War Drums Aura"
		"DOTA_Tooltip_ability_bm_wardrums_aura_Description"                               	"The rhythm of the Thunderhide's heartbeat increases the attack speed and attack damage of nearby allies. "
		"DOTA_Tooltip_ability_bm_wardrums_aura_attackspeed_bonus"                         	"ATTACK SPEED BONUS:"
		"DOTA_Tooltip_ability_bm_wardrums_aura_damage_pct_bonus"                          	"ATTACK DAMAGE BONUS PERCENTAGE:"
		"DOTA_Tooltip_ability_bm_wardrums_aura_radius"                                    	"RADIUS:"
		"DOTA_Tooltip_modifier_bm_wardrums_aura_buff"                                     	"War Drums Aura"
		"DOTA_Tooltip_modifier_bm_wardrums_aura_buff_Description"                         	"15 percent attack damage bonus and 15 attack speed bonus."


		//-------------------
		//Items
		//-------------------
		"DOTA_Tooltip_ability_item_boar"                                                  	"Boar Scout"
		"DOTA_Tooltip_ability_item_boar_Description"                                      	""
		"DOTA_Tooltip_ability_item_boar_duration"                            				"BOAR DURATION:"
		"DOTA_Tooltip_ability_item_boar_gold_cost"                                			"<font color='#fff22e'>GOLD COST</font>:"

		"DOTA_Tooltip_ability_item_hawk"                                                  	"Hawk Scout"
		"DOTA_Tooltip_ability_item_hawk_Description"                                      	""
		"DOTA_Tooltip_ability_item_hawk_duration"                            				"HAWK DURATION:"
		"DOTA_Tooltip_ability_item_hawk_gold_cost"                                			"<font color='#fff22e'>GOLD COST</font>:"

		"DOTA_Tooltip_ability_item_techies"                                                 "Techies Scout"
		"DOTA_Tooltip_ability_item_techies_Description"                                     ""
		"DOTA_Tooltip_ability_item_techies_duration"                            			"TECHIES DURATION:"
		"DOTA_Tooltip_ability_item_techies_gold_cost"                               		"<font color='#fff22e'>GOLD COST</font>:"

		"DOTA_Tooltip_ability_item_last_stand"                                              "Last Stand"
		"DOTA_Tooltip_ability_item_last_stand_Description"                                  "The Barracks Master channels all his inner strength to deal a devastating blow to anyone who dares oppose him. Limited charges. Use wisely."
		"DOTA_Tooltip_ability_item_last_stand_damage"                            			"DAMAGE:"
		"DOTA_Tooltip_ability_item_last_stand_radius"                               		"RADIUS:"		

	}
}
